,name,date,headline,intro
3109,Zeit,05/06/2021,Detail;aus;US-amerikanischen;Geheimdienstreport;zu;Ufos;bekennen;werden,120;unbekannt;Flugobjekte;werden;in;der;vergangen;20;Jahr;sichten;Beleg;für;außerirdisch;Leben;bringen;ich;kein;zitieren;einen;Zeitung;aus;der;Report
3110,Zeit,05/06/2021,Donald;Trumps;Account;bleiben;bis;Anfang;2023;sperren,seit;Januar;haben;der;Ex;US-amerikanischen;Präsident;kein;Zugriff;auf;Facebook;der;können;sich;auch;nur;ändern;wenn;Trump;für;der;öffentlich;Sicherheit;kein;Risiko;mehr;darstellen
3111,Tagesschau,06/06/2021,Brandanschlag;auf;Bremer;Polizei,Unbekannte;Täter;haben;ein;Brandanschlag;auf;der;Bremer;Bereitschaftspolizei;verüben;mehrer;Polizeiwagen;gehen;in;Flamme;auf;Mensch;werden;nicht;verletzen;Nun;ermitteln;der;Staatsschutz
3112,Tagesschau,06/06/2021,Taliban;töten;zahlreiche;Mensch,Mit;brutal;Gewalt;kämpfen;der;Taliban;in;Afghanistan;um;der;Macht;ich;sollen;viel;Zivilist;und;Sicherheitskräfte;umbringen;haben;Zugleich;geraten;der;Regierungstruppen;durch;ein;Fehler;der;eigen;Luftwaffe;unter;Beschuss
3113,Zeit,05/06/2021,so;putzen;ich;mein;Wohnung;richtig,der;Putz;Hardware;muss;kosten;der;Vierfarbensystem;können;Leben;retten;und;Obacht;Zuerst;der;Klo;Drei;Experte;14;Frage;sauber;recherchiert;der;ultimative;Putz;Guide
3114,Zeit,05/06/2021,ich;Narzissten;verwechseln;Bestätigung;mit;lieben,Toxischer;Narzissmus;sein;zerstörerisch;der;Psychiater;Pablo;Hagemeyer;erklären;wie;man;Narzissten;erkennen;und;aushebelt;ich;muss;ich;wissen;ich;sein;selbst;Narzisst
3115,Zeit,05/06/2021,Krieg;ich;der;hin,der;Beziehung;laufen;gut;aber;Familie;der;Paartherapeutin;Diana;Boettcher;erklären;wie;paaren;herausfinden;ob;ich;miteinander;Kind;bekommen;sollen
3116,Zeit,05/06/2021,der;erste;modern;Whistleblower,1971;machen;Daniel;Ellsberg;der;Pentagon;Paper;öffentlich;und;entlarven;so;der;Verwicklung;der;USA;im;Vietnamkrieg;der;Geschichte;einer;spektakulär;Enthüllung
3117,Welt,09/06/2021,7;Euro;pro;Stunde;für;Autonomes;Fahren;so;wollen;VW;künftig;Geld;verdienen,Wer;sich;in;mein;elektrisch;Volkswagen;vom;Computer;fahren;lassen;wollen;können;dies;Service;bald;stunden;oder;tageweise;zubuchen;Auch;für;der;Zeitvertreib;während;der;Ladepausen;haben;der;VW;Vorstand;schon;konkrete;Plan
3118,Zeit,05/06/2021,Türkische;Ei;für;jed;Tageszeit,an;dies;Gericht;schmecken;alle;cremig;der;Joghurt;der;pochierten;Ei;der;Paprika;Buttersoße;Mit;Baguette;dazu;entstehen;aus;nur;vier;Zutat;einen;ganze;Mahlzeit
3119,Zeit,05/06/2021,Ich;verdienen;mit;der;Testzentrum;42;500;Euro;brutto;im;Monat,Mia;25;sein;Ärztin;und;betreiben;seit;März;einen;Testzentrum;in;München;ich;haben;20;Angestellte;und;können;zusammen;mit;mein;Partner;nun;mehr;als;500;000;Euro;abrechnen
3120,Tagesschau,06/06/2021,als;der;Strand;voll;Kokain;sein,Vor;genau;20;Jahr;werden;Unmenge;Kokain;an;der;Strand;der;Azoreninsel;São;Miguel;spülen;einigen;Bewohner;werden;auf;ein;Schlag;reichen;ander;stürzen;ab
